Date & time,Note,Gene (x),y,z,R,range fraction
20220203144612,nsp2-all_mutations,VarSeqP,IR,FR,0.0455730974356608,0.25
Date & time,Note,Gene (x),y,z,R,range fraction
20220203144850,nsp2-all_mutations,VarSeqP,IR,FR,0.0455730974356608,0.25
Date & time,Note,Gene (x),y,z,R,range fraction
20220203144910,nsp2-all_mutations,VarSeqP,IR,FR,0.0514729847666664,0.5
Date & time,Note,Gene (x),y,z,R,range fraction
20220203144929,nsp2-all_mutations,VarSeqP,IR,FR,0.0508392986106605,0.75
Date & time,Note,Gene (x),y,z,R,range fraction
20220203144944,nsp2-all_mutations,VarSeqP,IR,FR,0.0319522788492743,1
Date & time,Note,Gene (x),y,z,R,range fraction
20220203145042,nsp3-all_mutations,VarSeqP,IR,FR,0.0223414377112484,0.25
Date & time,Note,Gene (x),y,z,R,range fraction
20220203145145,nsp3-all_mutations,VarSeqP,IR,FR,0.0255277788011698,0.5
Date & time,Note,Gene (x),y,z,R,range fraction
20220203145247,nsp3-all_mutations,VarSeqP,IR,FR,0.0309622361717741,0.75
Date & time,Note,Gene (x),y,z,R,range fraction
20220203145351,nsp3-all_mutations,VarSeqP,IR,FR,0.0209205069343043,1
Date & time,Note,Gene (x),y,z,R,range fraction
20220203145408,nsp4-all_mutations,VarSeqP,IR,FR,0.00855456652216077,0.25
Date & time,Note,Gene (x),y,z,R,range fraction
20220203145436,nsp4-all_mutations,VarSeqP,IR,FR,0.0219135473561305,0.5
Date & time,Note,Gene (x),y,z,R,range fraction
20220203145451,nsp4-all_mutations,VarSeqP,IR,FR,0.0429633206526143,0.75
Date & time,Note,Gene (x),y,z,R,range fraction
20220203145504,nsp4-all_mutations,VarSeqP,IR,FR,0.00442855405975047,1
