Date & time,Note,Gene (x),y,z,R,range fraction
2.02203E+13,nsp10-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.453308209,1
2.02203E+13,nsp10-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.451569645,0.5
2.02203E+13,nsp10-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.445201723,0.25
2.02203E+13,nsp10-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.436755993,0.75
2.02203E+13,E-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.415635729,0.75
2.02203E+13,E-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.415626108,1
2.02203E+13,Spike-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.415102543,0.5
2.02203E+13,Spike-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.414924503,0.25
2.02203E+13,E-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.413913119,0.25
2.02203E+13,Spike-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.413582629,0.75
2.02203E+13,Spike-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.413490116,1
2.02203E+13,E-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.412161709,0.5
2.02203E+13,nsp16-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.399687043,1
2.02203E+13,nsp16-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.399335251,0.75
2.02203E+13,nsp16-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.398269458,0.5
2.02203E+13,nsp16-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.397649182,0.25
2.02203E+13,nsp6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.384228544,1
2.02203E+13,nsp6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.384086594,0.75
2.02203E+13,nsp6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.383942347,0.25
2.02203E+13,nsp6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.383935217,0.5
2.02203E+13,NC-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.378002076,0.5
2.02203E+13,NC-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.375164319,0.25
2.02203E+13,NC-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.374908456,0.75
2.02203E+13,NC-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.374882352,1
2.02203E+13,nsp8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.373400728,0.75
2.02203E+13,nsp1-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.37216178,0.75
2.02203E+13,nsp1-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.372111768,0.5
2.02203E+13,nsp1-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.372063464,1
2.02203E+13,nsp8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.370801541,0.5
2.02203E+13,nsp8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.368275214,1
2.02203E+13,nsp2-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.367750895,1
2.02203E+13,ns6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.366933789,0.5
2.02203E+13,nsp1-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.366258545,0.25
2.02203E+13,ns6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.365070887,0.75
2.02203E+13,ns6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.364997846,1
2.02203E+13,nsp8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.357548428,0.25
2.02203E+13,M-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.357030927,0.25
2.02203E+13,M-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.356253574,0.75
2.02203E+13,M-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.354709837,1
2.02203E+13,M-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.354384627,0.5
2.02203E+13,ns6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.352378634,0.25
2.02203E+13,Hel-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.349379182,0.5
2.02203E+13,Hel-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.346925026,0.25
2.02203E+13,Hel-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.345894589,0.75
2.02203E+13,Hel-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.345413238,1
2.02203E+13,3CL_PRO-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.342061296,0.25
2.02203E+13,3CL_PRO-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.340326683,0.75
2.02203E+13,3CL_PRO-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.340294392,0.5
2.02203E+13,3CL_PRO-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.340199375,1
2.02203E+13,ns8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.336163831,1
2.02203E+13,ns8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.336081934,0.5
2.02203E+13,ns8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.335177355,0.75
2.02203E+13,Pol-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.329577439,1
2.02203E+13,Pol-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.329534543,0.75
2.02203E+13,Pol-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.32951231,0.5
2.02203E+13,Pol-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.329392503,0.25
2.02203E+13,nsp2-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.324834022,0.75
2.02203E+13,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.324477731,1
2.02203E+13,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.324457823,0.75
2.02203E+13,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.324399884,0.5
2.02203E+13,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.323232912,0.25
2.02203E+13,nsp4-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.321415435,0.25
2.02203E+13,nsp9-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.321082019,0.5
2.02203E+13,nsp2-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.317851102,0.25
2.02203E+13,nsp4-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.317571978,0.5
2.02203E+13,nsp9-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.313536446,0.75
2.02203E+13,nsp9-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.312935959,1
2.02203E+13,nsp4-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.311790244,0.25
2.02203E+13,nsp9-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.311652617,0.25
2.02203E+13,nsp6-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.310464382,0.75
2.02203E+13,nsp4-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.308509211,0.5
2.02203E+13,nsp4-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.30804789,0.75
2.02203E+13,nsp6-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.307351667,0.5
2.02203E+13,nsp4-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.306916237,1
2.02203E+13,E-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.306744452,1
2.02203E+13,ExoN-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.305829299,0.25
2.02203E+13,ExoN-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.305790832,1
2.02203E+13,nsp3-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.305600931,0.25
